983,959440,5,10
983,920130,5,12
421,667742,5,9
5,1068514,5,7
421,1021731,5,7
598,351305,5,8
320,228055,5,8
983,458001,5,11
983,346041,5,9
758,1045104,5,14
421,330323,5,6
476,128045,5,8
66,179621,5,15
983,625120,5,13
983,228539,5,15
167,119903,5,11
380,418187,5,9
983,1015583,5,13
133,925584,5,12
983,635222,5,9
476,723665,5,9
598,458760,5,9
983,709121,5,11
282,613217,5,7
983,567517,5,10
983,616379,5,10
216,137421,5,8
672,463071,5,5
983,10176,5,11
320,714100,5,13
421,910529,5,14
983,700311,5,10
476,733847,5,8
720,980176,5,11
77,852482,5,9
476,1028287,5,6
167,485917,5,13
349,358467,5,12
307,512751,5,8
167,43328,5,11
476,655646,5,13
983,576073,5,10
133,898035,5,8
983,773569,5,9
219,893219,5,12
983,751334,5,10
133,1050480,5,11
983,279457,5,9
133,486302,5,12
983,422567,5,9
863,605819,5,8
758,877248,5,12
983,724688,5,11
421,132869,5,9
476,199477,5,10
345,531134,5,7
252,1039877,5,13
279,1029681,5,10
216,872987,5,11
983,628902,5,11
983,451502,5,7
983,458001,5,12
580,4341,5,11
885,70810,5,15
990,89734,5,16
167,938889,5,13
133,927843,5,8
983,629395,5,14
476,552344,5,10
720,1005465,5,11
949,942866,5,12
216,119884,5,9
77,1066066,5,7
476,817245,5,8
983,396112,5,10
476,7454,5,7
5,389896,5,13
441,674256,5,14
598,1055554,5,11
275,697718,5,14
923,21176,5,6
983,200612,5,9
983,556954,5,11
421,230702,5,11
252,215288,5,11
168,187863,5,11
252,633745,5,10
421,698288,5,10
720,918384,5,11
983,1012161,5,12
983,963369,5,10
275,413506,5,12
476,879096,5,9
281,935310,5,7
476,122721,5,9
863,504987,5,11
216,980184,5,7
195,810299,5,13
983,517289,5,8
252,280919,5,5
983,450416,5,13
279,42577,5,13
984,254393,5,7
983,723402,5,9
441,381192,5,15
758,1050968,5,13
753,84858,5,9
720,1005465,5,11
77,309617,5,6
421,410950,5,10
720,65378,5,11
983,1055494,5,10
62,729220,5,15
476,244131,5,15
983,694014,5,13
476,278106,5,16
296,971056,5,10
720,980176,5,11
983,332323,5,11
476,523912,5,7
983,396112,5,11
983,173435,5,11
356,480184,5,11
336,77486,5,8
983,382237,5,11
783,204425,5,11
983,635222,5,10
476,848079,5,12
983,635128,5,11
395,806441,5,10
36,1061319,5,13
66,386725,5,11
307,346728,5,7
983,556954,5,11
36,239258,5,7
